frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,mx1,my1,mx2,my2,license_plate_text
142.0,license plate,tensor([0.6610]),"tensor([2], dtype=torch.int32)",626,209,660,218,True,626,209,660,218,= —_e
143.0,car,tensor([0.9018]),"tensor([1], dtype=torch.int32)",263,150,428,256,False,0,0,0,0,
143.0,car,tensor([0.8797]),"tensor([2], dtype=torch.int32)",466,139,668,241,False,0,0,0,0,
143.0,car,tensor([0.7567]),"tensor([3], dtype=torch.int32)",375,150,470,209,False,0,0,0,0,
143.0,car,tensor([0.7039]),"tensor([4], dtype=torch.int32)",235,145,272,177,False,0,0,0,0,
143.0,person,tensor([0.6836]),"tensor([5], dtype=torch.int32)",131,136,160,211,False,0,0,0,0,
143.0,car,tensor([0.6116]),"tensor([6], dtype=torch.int32)",234,147,301,178,False,0,0,0,0,
143.0,license plate,tensor([0.8103]),"tensor([1], dtype=torch.int32)",363,216,402,231,True,363,216,402,231,sz
143.0,license plate,tensor([0.6250]),"tensor([2], dtype=torch.int32)",625,208,660,218,True,625,208,660,218,a --
144.0,car,tensor([0.9158]),"tensor([1], dtype=torch.int32)",267,149,436,258,False,0,0,0,0,
144.0,car,tensor([0.8794]),"tensor([2], dtype=torch.int32)",467,139,668,241,False,0,0,0,0,
144.0,car,tensor([0.7579]),"tensor([3], dtype=torch.int32)",383,150,470,210,False,0,0,0,0,
144.0,car,tensor([0.7109]),"tensor([4], dtype=torch.int32)",234,148,302,179,False,0,0,0,0,
144.0,car,tensor([0.6870]),"tensor([5], dtype=torch.int32)",235,145,272,176,False,0,0,0,0,
144.0,car,tensor([0.6375]),"tensor([6], dtype=torch.int32)",235,145,290,177,False,0,0,0,0,
144.0,license plate,tensor([0.6220]),"tensor([1], dtype=torch.int32)",625,208,661,218,True,625,208,661,218,oo oe
145.0,car,tensor([0.9101]),"tensor([1], dtype=torch.int32)",272,150,446,260,False,0,0,0,0,
145.0,car,tensor([0.8796]),"tensor([2], dtype=torch.int32)",467,138,668,240,False,0,0,0,0,
145.0,car,tensor([0.7336]),"tensor([3], dtype=torch.int32)",235,144,271,175,False,0,0,0,0,
145.0,car,tensor([0.7144]),"tensor([4], dtype=torch.int32)",384,148,470,210,False,0,0,0,0,
145.0,car,tensor([0.7027]),"tensor([5], dtype=torch.int32)",261,149,302,179,False,0,0,0,0,
145.0,license plate,tensor([0.6645]),"tensor([1], dtype=torch.int32)",380,220,421,232,True,380,220,421,232,not detected
146.0,car,tensor([0.9037]),"tensor([1], dtype=torch.int32)",276,151,458,264,False,0,0,0,0,
146.0,car,tensor([0.8886]),"tensor([2], dtype=torch.int32)",467,137,669,240,False,0,0,0,0,
146.0,car,tensor([0.7814]),"tensor([3], dtype=torch.int32)",263,150,304,181,False,0,0,0,0,
146.0,car,tensor([0.7631]),"tensor([4], dtype=torch.int32)",387,148,470,208,False,0,0,0,0,
146.0,car,tensor([0.7612]),"tensor([5], dtype=torch.int32)",235,143,271,175,False,0,0,0,0,
146.0,license plate,tensor([0.5824]),-1,625,206,663,216,True,625,206,663,216,a
146.0,license plate,tensor([0.3731]),-1,392,222,431,234,True,392,222,431,234,not detected
146.0,license plate,tensor([0.1339]),-1,395,225,421,233,True,395,225,421,233,OO
147.0,car,tensor([0.9061]),"tensor([1], dtype=torch.int32)",281,149,470,267,False,0,0,0,0,
147.0,car,tensor([0.9031]),"tensor([2], dtype=torch.int32)",465,137,669,240,False,0,0,0,0,
147.0,car,tensor([0.7839]),"tensor([3], dtype=torch.int32)",264,149,304,182,False,0,0,0,0,
147.0,car,tensor([0.7723]),"tensor([4], dtype=torch.int32)",236,142,273,175,False,0,0,0,0,
147.0,car,tensor([0.6365]),"tensor([5], dtype=torch.int32)",390,147,470,199,False,0,0,0,0,
147.0,license plate,tensor([0.7411]),"tensor([1], dtype=torch.int32)",625,205,662,216,True,625,205,662,216,not detected
147.0,license plate,tensor([0.7220]),"tensor([2], dtype=torch.int32)",400,225,441,238,True,400,225,441,238,ee
148.0,car,tensor([0.9114]),"tensor([1], dtype=torch.int32)",467,137,669,240,False,0,0,0,0,
148.0,car,tensor([0.9025]),"tensor([2], dtype=torch.int32)",286,148,482,272,False,0,0,0,0,
148.0,car,tensor([0.7647]),"tensor([3], dtype=torch.int32)",263,149,304,182,False,0,0,0,0,
148.0,car,tensor([0.7632]),"tensor([4], dtype=torch.int32)",236,142,274,174,False,0,0,0,0,
148.0,license plate,tensor([0.8141]),"tensor([1], dtype=torch.int32)",626,205,663,215,True,626,205,663,215,not detected
148.0,license plate,tensor([0.7804]),"tensor([2], dtype=torch.int32)",409,226,455,243,True,409,226,455,243,z
149.0,car,tensor([0.9259]),"tensor([1], dtype=torch.int32)",291,147,497,277,False,0,0,0,0,
149.0,car,tensor([0.8973]),"tensor([2], dtype=torch.int32)",468,136,670,238,False,0,0,0,0,
149.0,car,tensor([0.7342]),"tensor([3], dtype=torch.int32)",236,141,276,174,False,0,0,0,0,
149.0,car,tensor([0.6754]),"tensor([4], dtype=torch.int32)",263,148,304,181,False,0,0,0,0,
